Campaign report
1 November 2025 - 30 November 2025
Conversion action,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Clicks,CTR,Avg. CPM,Avg. CPC,Bid strategy type,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / conv.
obchod_kategoria_produkt,Paused,PMax_sales_products #2,20.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
Sanaplant.sk (web) add_to_cart,Paused,PMax_sales_products #2,20.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
add_to_cart,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
add_to_cart_book,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.99,0
obchod_kategoria_produkt,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
Sanaplant.sk (web) add_to_cart,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
Sanaplant.sk (web) view_item,Paused,Demand Gen - book,5.00, --,Daily,EUR,Paused,campaign paused,Demand Gen,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
add_to_cart,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
obchod_kategoria_produkt,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
Sanaplant.sk (web) add_to_cart,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
Sanaplant.sk (web) view_item,Paused,PM_akv_book_2025,10.00, --,Daily,EUR,Paused,campaign paused,Performance Max,0,0, --,0,0,0, --,0,0,Maximise Conversions, --,0.00,0,0.00,0
add_to_cart,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,20.00,0
add_to_cart_book,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
purchase,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
Sanaplant.sk (web) purchase,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,1.00,0,1.00,0
obchod_kategoria_produkt,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
Sanaplant.sk (web) add_to_cart,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
Sanaplant.sk (web) view_item,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,0.00,0
[830b] Google for WooCommerce purchase action,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,27.85,0,0.50,0
begin_checkout,Enabled,PMax_sales_products,40.00, --,Daily,EUR,Eligible (Limited),limited by budget; Products are disapproved,Performance Max,0,0, --,0,0,0, --,0,0,Target ROAS, --,0.00,0,10.00,0
